"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"136 Beulah St 94117","Haight Ashbury","additions alterations or repairs","legalize 3 rooms in basement","apartments","apartments",1980-11-13,"37.76770834708894","-122.45224272696048"
"315 Grand View Av 94114","Noe Valley","additions alterations or repairs","legalize 5th dwelling unit as per attached letter.","apartments","apartments",1991-05-29,"37.75303409311763","-122.4419783499431"
"2908 Octavia St 94123","Marina","additions alterations or repairs","legalize present roof sturcture for recreational use","apartments","apartments",1982-12-15,"37.79910347082984","-122.42892612427418"
"2908 Octavia St 94123","Marina","additions alterations or repairs","legalize present roof sturcture for recreational use","apartments","apartments",1982-12-15,"37.79910347082984","-122.42892612427418"
"26 Pleasant St 94108","Nob Hill","additions alterations or repairs","remove of illegal roof top penthouse.","apartments","apartments",1991-07-17,"37.793042927500146","-122.41329762372476"
"1901 Mason St 94133","Russian Hill","otc alterations permit","revert existing illegal residential unita at basement back to its original use as storage rooms. provide 1 hr separation between proposed room 8 apartment above. correct or emove lectrical works and plumbing works as required","apartments","apartments",2006-05-03,"37.801148837962806","-122.41289124104536"
"1909 Mason St 94133","Russian Hill","otc alterations permit","revert existing illegal residential unita at basement back to its original use as storage rooms. provide 1 hr separation between proposed room 8 apartment above. correct or emove lectrical works and plumbing works as required","apartments","apartments",2006-05-03,"37.801148837962806","-122.41289124104536"
"405 Fair Oaks St 94110","Mission","additions alterations or repairs","rebuild and legalize rear yard stairs and decks. (horizontal addition)","apartments","apartments",2006-06-14,"37.75011239663879","-122.42353395033126"
"407 Fair Oaks St 94110","Mission","additions alterations or repairs","rebuild and legalize rear yard stairs and decks. (horizontal addition)","apartments","apartments",2006-06-14,"37.75011239663879","-122.42353395033126"
"409 Fair Oaks St 94110","Mission","additions alterations or repairs","rebuild and legalize rear yard stairs and decks. (horizontal addition)","apartments","apartments",2006-06-14,"37.75011239663879","-122.42353395033126"
"745 Green St 94133","Chinatown","additions alterations or repairs","legalize sewer pipe.repair work installed without permit","apartments","apartments",1991-07-25,"37.798926825267074","-122.41137127942241"
"735 Green St 94133","Chinatown","additions alterations or repairs","legalize sewer pipe.repair work installed without permit","apartments","apartments",1991-07-25,"37.79894167681126","-122.41125378853066"
"779 Treat Av 94110","Mission","additions alterations or repairs","legalize ground floor store room","apartments","apartments",1992-02-18,"37.757777240500324","-122.4131698762347"
"1458 Hayes St 94117","Hayes Valley","additions alterations or repairs","remove illegal roof on deck and replace with tile","apartments","apartments",1983-01-26,"37.774873244425045","-122.44057400322569"
"800 Filbert St 94133","Russian Hill","additions alterations or repairs","revert (e) illegal res. unit at basement back to its original use as storage rooms. provide 1-hr separation between proposed storage rooms & apartment above. correct or remove electr. & plumbing as required comply with nov #200668332","apartments","apartments",2006-08-09,"37.801148837962806","-122.41289124104536"
"804 Filbert St 94133","Russian Hill","additions alterations or repairs","revert (e) illegal res. unit at basement back to its original use as storage rooms. provide 1-hr separation between proposed storage rooms & apartment above. correct or remove electr. & plumbing as required comply with nov #200668332","apartments","apartments",2006-08-09,"37.801148837962806","-122.41289124104536"
"27 Lexington St 94110","Mission","otc alterations permit","to comply with nov# 200857073. remove bedtrooms and convert them to storage rooms. repair stairs, remove wet bar, repair storage room drywall; remove storage under stairs by walling-in door, legalize half-bath. all work on ground floor.","apartments","apartments",2009-10-08,"37.76225399626579","-122.42065670954622"
"1901 Mason St 94133","Russian Hill","additions alterations or repairs","revert (e) illegal res. unit at basement back to its original use as storage rooms. provide 1-hr separation between proposed storage rooms & apartment above. correct or remove electr. & plumbing as required comply with nov #200668332","apartments","apartments",2006-08-09,"37.801148837962806","-122.41289124104536"
"1909 Mason St 94133","Russian Hill","additions alterations or repairs","revert (e) illegal res. unit at basement back to its original use as storage rooms. provide 1-hr separation between proposed storage rooms & apartment above. correct or remove electr. & plumbing as required comply with nov #200668332","apartments","apartments",2006-08-09,"37.801148837962806","-122.41289124104536"
"133 Collingwood St 94114","Castro/Upper Market","otc alterations permit","to response to nov# 200235540, # 200407098393 and 200235998 (all about illegal construction of rear deck & stairs.) this application is to modify rear deck & stair to legalize them under current code.","apartments","apartments",2006-08-10,"37.76024173820472","-122.43573887459932"
"25 Virginia Av 94110","Bernal Heights","additions alterations or repairs","eliminat illegal unit ot comply with complaint #21655","apartments","apartments",1985-06-12,"37.743084624144714","-122.4208939453449"
"970 Hayes St 94117","Hayes Valley","additions alterations or repairs","legalize basement unit # 4 approx. 760 square feet incl. one bedroom, kitchen, laundry room and a full bathroom.","apartments","apartments",2009-10-14,"37.77596613246059","-122.43241316734841"
"724 Lombard St 94133","North Beach","additions alterations or repairs","remodel existing ground leveld commerical space, new h.c. restrooms, remodel residential unit @ ground floor remove illegal unit @ gruond floor comply  w/nov 20228705 revision to permit 200603096385(ref) 200504089535, 200506104870,200603177004 & 200604219549","apartments","apartments",2006-08-15,"37.80297174973681","-122.41354304593516"
"3922 Irving St 94122","Sunset/Parkside","otc alterations permit","to comply with nov # 200918183. remove ground fl illegal kitchen and remove shower to convert full bath to 1/2 bath room. convert kitchen, living and bedroom back to storage rooms. no habitable rooms on ground floor.","apartments","apartments",2009-10-15,"37.76279825036242","-122.5000506229103"
"734 Lombard St 94133","North Beach","additions alterations or repairs","remodel existing ground leveld commerical space, new h.c. restrooms, remodel residential unit @ ground floor remove illegal unit @ gruond floor comply  w/nov 20228705 revision to permit 200603096385(ref) 200504089535, 200506104870,200603177004 & 200604219549","apartments","apartments",2006-08-15,"37.80297174973681","-122.41354304593516"
"340 21st Av 94121","Outer Richmond","additions alterations or repairs","to legalize two sections of partition walls at rear","apartments","apartments",1992-03-10,"37.7814691423913","-122.48020488520102"
"124 Pierce St 94117","Haight Ashbury","otc alterations permit","unit #124 pierce only: remove illegal kitchen & convert to legal use as a flat, cap all utilities @ source. room convert to office.","apartments","apartments",2009-10-16,"37.77129336222947","-122.43334848292092"
"51 Mccoppin St 94103","Mission","additions alterations or repairs","to complete work started under 8500295 & 8303242/illegal uni","apartments","apartments",1992-03-11,"37.77143468910227","-122.42144157000872"
"1285 45th Av 94122","Sunset/Parkside","otc alterations permit","comply with nov# 200917149-removal of an illegal dwelling unit on garage level","apartments","apartments",2009-10-16,"37.76276588923539","-122.50534752803779"
"974 Hayes St 94117","Hayes Valley","additions alterations or repairs","legalize basement unit # 4 approx. 760 square feet incl. one bedroom, kitchen, laundry room and a full bathroom.","apartments","apartments",2009-10-14,"37.77596613246059","-122.43241316734841"
"155 Russ St 94103","South of Market","otc alterations permit","comply w/n.o.v. #200733355 to remove illegal apt facilities at garage level, legalize 1/2 bath, storage & sink in garden room.","apartments","apartments",2009-10-20,"37.778330233612834","-122.40717682869739"
"1126 Bush St 94109","Nob Hill","otc alterations permit","comply with nov 200672244 housing violation dated 8/31/06 routine inspection. comply with complaint #200674031 dated 8/31/06 legalize work performed.","apartments","apartments",2006-09-18,"37.7894864810893","-122.41591765235897"
"623 Precita Av 94110","Bernal Heights","otc alterations permit","respond to complaint 200115695 dated 4/4/01. remove existing illegal rear 3 story sun room addition, remove e damaged rear stairs (2nd egress) and rebuild new rear stairs (2nd egress) per plan min 3'0 from property line","apartments","apartments",2006-09-18,"37.747901318510756","-122.4091526861449"
"625 Precita Av 94110","Bernal Heights","otc alterations permit","respond to complaint 200115695 dated 4/4/01. remove existing illegal rear 3 story sun room addition, remove e damaged rear stairs (2nd egress) and rebuild new rear stairs (2nd egress) per plan min 3'0 from property line","apartments","apartments",2006-09-18,"37.747901318510756","-122.4091526861449"
"1522 Howard St 94103","Mission","additions alterations or repairs","legalize (e) 12'x25' wall sign displaying outdoor advertising","apartments","apartments",2009-10-28,"37.77292063157852","-122.41616939276241"
"1394 Mcallister St 94115","Western Addition","additions alterations or repairs","comply with 3r# 4513 dated 5/4/06. legalize bath remodel & obtain inspections, weather stripping @ doors & smoke alarms. no structural changes.","apartments","apartments",2006-09-19,"37.778462630272486","-122.43493342314619"
"1394 Mcallister St 94115","Western Addition","additions alterations or repairs","comply with 3r# 4513 dated 5/4/06. legalize bath remodel & obtain inspections, weather stripping @ doors & smoke alarms. no structural changes.","apartments","apartments",2006-09-19,"37.778462630272486","-122.43493342314619"
"1305 Palou Av 94124","Bayview Hunters Point","otc alterations permit","legalize (e) plumbing & electrical on ground level, provide 1 hour seperation between garage & unit, show 2nd means of egress. to comply with nov#200917641.lealize resisnetial unit residential unit at lower level must be provided with sprinkler system coverage per nfpa 13r under separate application","apartments","apartments",2010-02-08,"37.73066540468775","-122.38560130642958"
"791 Dolores St 94110","Mission","additions alterations or repairs","remove illegal basement fixtures to illegal apt.","apartments","apartments",1992-03-26,"37.7568436908177","-122.42526539896193"
"793 Dolores St 94110","Mission","additions alterations or repairs","remove illegal basement fixtures to illegal apt.","apartments","apartments",1992-03-26,"37.7568436908177","-122.42526539896193"
"795 Dolores St 94110","Mission","additions alterations or repairs","remove illegal basement fixtures to illegal apt.","apartments","apartments",1992-03-26,"37.7568436908177","-122.42526539896193"
"538 Clayton St 94117","Haight Ashbury","additions alterations or repairs","legalize rumpus, storage, bathroom, and stairway","apartments","apartments",1983-02-08,"37.770199229849034","-122.44836449569253"
"1200 Taylor St 94108","Nob Hill","otc alterations permit","basement drywall work on room 1,2,3,4 and 5. to legalize work done without a permit comply w/comlaint#200676850.","apartments","apartments",2006-11-03,"37.79362295339819","-122.41257665970357"
"2333 24th Av 94116","Sunset/Parkside","additions alterations or repairs","remove illegal unit in basement","apartments","2 family dwelling",1992-04-14,"37.743978922555094","-122.48146068063879"
"2976 24th St 94110","Mission","otc alterations permit","to legalize work w/o poermit for the manager office 1 social room. to comply with notyice of viiolations 200672927 .and amended nov to first violatiions to document no kitchen in existing social room.","apartments","apartments",2006-11-14,"37.75287474571144","-122.41164969534894"
"340 Capp St 94110","Mission","additions alterations or repairs","remove illegal kitchen in basement & dot bell/sign(front dor","apartments","apartments",1992-04-16,"37.761228976543514","-122.41852101446646"
"1226 Grant Av 94133","North Beach","additions alterations or repairs","proposed existing basement to legalize for owner's use.","apartments","apartments",1992-04-21,"37.79843158463227","-122.4069525865166"
"69 Pearl St 94103","Mission","additions alterations or repairs","remove illegal units on basement level","apartments","apartments",1992-04-27,"37.77030959385648","-122.42366390430384"
"170 College Av 94112","Bernal Heights","additions alterations or repairs","to legalize existing 3rd unit","2 family dwelling","apartments",1985-07-03,"37.735188317040986","-122.42551818262407"
"331 Page St 94102","Hayes Valley","additions alterations or repairs","sdbring bldg into code replace illegal remove kitchen","apartments","apartments",1992-05-11,"37.773316935010115","-122.42619017075853"
"333 Page St 94102","Hayes Valley","additions alterations or repairs","sdbring bldg into code replace illegal remove kitchen","apartments","apartments",1992-05-11,"37.773316935010115","-122.42619017075853"
"338 Alemany Bl 94110","Bernal Heights","additions alterations or repairs","remov illegal units at garage area","apartments","apartments",1992-05-20,"37.73399251906079","-122.41283311193813"
"628 Hyde St 94109","Tenderloin","otc alterations permit","voluntary adding 5/8 type gyp board on walls and ceiling for fire protection. add a atoilet in (e) utilities room existing fire sprinkler system to remain. no change. legalize (e) storage rooms amnd utilities room.","apartments","apartments",2006-12-13,"37.78677681146361","-122.41626972241414"
"3339 21st St 94110","Mission","additions alterations or repairs","legalize space to comply w/approved permit & violation notic","apartments","apartments",1992-05-29,"37.756603166448365","-122.42200520650442"
"433 Lombard St 94133","North Beach","additions alterations or repairs","legalize 7th unit see ref #8500330 eliminate the 8th unit","apartments","apartments",1992-06-01,"37.80315220414394","-122.40867651629705"
"2530 Folsom St 94110","Mission","additions alterations or repairs","legalize lower unit adjacent to garage at ground level.","2 family dwelling","apartments",2006-12-14,"37.75680278516476","-122.41484013466501"
"739 Valencia St 94110","Mission","otc alterations permit","remodel of apartment of convert it back to residential use from illegal office use. installation in kitchen of gas stove, refrigerator, sink, and cabinets.","apartments","apartments",2006-12-27,"37.76098858528251","-122.42108869250417"
"1401 Chestnut St 94123","Marina","additions alterations or repairs","clear bldg of all complaints, pay fees & legalize.","apartments","apartments",1992-06-10,"37.80132182247591","-122.42701934427627"
"434 Union St 94133","North Beach","otc alterations permit","comply with nov 200338086-200875515. remove shower & change illegal kitchen to storage room.","apartments","apartments",2009-04-16,"37.800933383863786","-122.4066380847666"
"267 Frederick St 94117","Haight Ashbury","additions alterations or repairs","clear nov# 200686555 dated 1/8/07. remove kitchen at ground floor. remove illegal bathroom at ground floor. remove from scope.","apartments","apartments",2007-03-12,"37.766834239487196","-122.44745710580877"
"2068 Jefferson St 94123","Marina","otc alterations permit","to comply w/ nov #200860012 - to legalize existing roof deck.","apartments","apartments",2009-04-21,"37.804566744881924","-122.44663740582351"
"1364 Green St 94109","Russian Hill","additions alterations or repairs","legalize furnace room","apartments","apartments",1992-02-06,"37.79814344653093","-122.42164999935733"
"1368 Green St 94109","Russian Hill","additions alterations or repairs","legalize furnace room","apartments","apartments",1992-02-06,"37.79814344653093","-122.42164999935733"
"3412 18th St 94110","Mission","additions alterations or repairs","legalize (e) 12'x25' west facing wall sign, displaying outdoor advertising","apartments","apartments",2009-10-28,"37.76201258279962","-122.41984809932877"
"15 Sumner St 94103","South of Market","additions alterations or repairs","dismantle illegal apartment","apartments","2 family dwelling",1992-02-10,"37.7763248740659","-122.4103540045674"
"64 San Juan Av 94112","Outer Mission","additions alterations or repairs","legalize storage area at g/f remove (e) tub","apartments","2 family dwelling",1992-10-20,"37.72467772817052","-122.43622882957786"
"1672 Grove St 94117","Lone Mountain/USF","additions alterations or repairs","legalize (e) bathroom @ basement","apartments","apartments",1991-09-19,"37.77537098313971","-122.44419786005714"
"2727 Mariposa St 94110","Mission","additions alterations or repairs","legalize decks for live work units and provide as built plan. complaint #200344924 ces.","apartments","apartments",2007-03-30,"37.7626400461743","-122.4106993749376"
"233 Lexington St 94110","Mission","additions alterations or repairs","comply w bbi cklist. legalize exist 3d unit appr'd by dcp","2 family dwelling","apartments",1992-11-03,"37.75960000069729","-122.4203996842844"
"235 Lexington St 94110","Mission","additions alterations or repairs","comply w bbi cklist. legalize exist 3d unit appr'd by dcp","2 family dwelling","apartments",1992-11-03,"37.75960000069729","-122.4203996842844"
"45 Dearborn St 94110","Mission","otc alterations permit","remove illegal unit, kitchen and bath, cap utilities at source","apartments","apartments",2007-04-02,"37.76250019511293","-122.42275520387516"
"47 Dearborn St 94110","Mission","otc alterations permit","remove illegal unit, kitchen and bath, cap utilities at source","apartments","apartments",2007-04-02,"37.76250019511293","-122.42275520387516"
"280 Euclid Av 94118","Presidio Heights","otc alterations permit","to comply with notice ofviolation #200683057 to install a sasher anddryeer & legalize laundry room","apartments","apartments",2007-04-06,"37.78451460511168","-122.45076254494721"
"16 Hill St 94110","Mission","additions alterations or repairs","legalize ready built addition to fire escape per plans","apartments","apartments",1992-11-16,"37.756300046255994","-122.42182006998927"
"2623 Folsom St 94110","Mission","additions alterations or repairs","combine 2nd & 3/f into 1 dwel unit/legalize 2nd dwel in basm","apartments","2 family dwelling",1992-12-03,"37.7553158855057","-122.41398814220246"
"1133 Hayes St 94117","Hayes Valley","additions alterations or repairs","site permit: to remove illegal floor addition and bring roof back to original look and status.","apartments","apartments",2007-04-16,"37.77500454999538","-122.43505043004583"
"1709 Oak St 94117","Haight Ashbury","otc alterations permit","legalize 3rd floor installation of fire sprinkler system , and at attic space.pa# 2010.02.11.6423 for reference","apartments","apartments",2010-05-07,"37.7715237229029","-122.44777876493809"
"3156 24th St 94110","Mission","otc alterations permit","removed illegal unit on 1st floor as well as the kitchen. rooms (storage rooms) which are to be removed are show on plans a, follow upon pa# 2010-0415-0338","apartments","apartments",2010-10-13,"37.75262522695103","-122.41544037142467"
"3158 24th St 94110","Mission","otc alterations permit","removed illegal unit on 1st floor as well as the kitchen. rooms (storage rooms) which are to be removed are show on plans a, follow upon pa# 2010-0415-0338","apartments","apartments",2010-10-13,"37.75262522695103","-122.41544037142467"
"773 Page St 94117","Haight Ashbury","additions alterations or repairs","remove illegal unit on ground floor(bring bldg to code (hid)","apartments","apartments",1992-07-15,"37.772471787591606","-122.43335525867006"
"2710 Pine St 94115","Pacific Heights","additions alterations or repairs","remove illegal dwelling unit including kitchen. connect upper unit to illegal unit to combine with interior stair.","apartments","2 family dwelling",2007-04-25,"37.787320678059","-122.44086729824434"
"2266 Pacific Av 94115","Pacific Heights","otc alterations permit","kitchen/bath upgrade. comply with 200701186. repair damaged walls, minor electrical,plumbing, new paint, fllor, covering add closet to dedroom 2. legalize all work per nov 200701186 no door, and no window work on this permit.","apartments","apartments",2007-04-27,"37.79389794886085","-122.43261716398042"
"547 24th Av 94121","Outer Richmond","additions alterations or repairs","reversion & elimination of illegal 3rd unit","apartments","apartments",1986-02-06,"37.77916717608922","-122.48392383879252"
"111 Buena Vista East Av NA",NA,"additions alterations or repairs","legalize exist'g gr fl for occupancy, refer 3r-1753 item 15","apartments","apartments",1992-08-04,NA,NA
"253 Sanchez St 94114","Castro/Upper Market","additions alterations or repairs","convert illegal 3 unit apt to 2 unit. remove kitch, shower++","apartments","apartments",1992-08-07,"37.765113004541924","-122.43059137382264"
"2515 Sacramento St 94115","Pacific Heights","additions alterations or repairs","remove illegal basement bedroom restore rear apt to origin.","apartments","apartments",1992-08-11,"37.789452528595696","-122.4348402650978"
"1231 19th Av 94122","Sunset/Parkside","additions alterations or repairs","legalize recreation & party rm. correct all violation/hid","apartments","apartments",1992-08-14,"37.76482362550361","-122.47759339611619"
"1604 Mcallister St 94115","Western Addition","otc alterations permit","revert illegal 10th residential unit back to commercial. install disabled bathroom as part of remodel of this bldg with cert of final completion. see conditions and stipalations","apartments","apartments",2007-06-25,"37.77791583903075","-122.43870878826935"
"413 Haight St 94117","Hayes Valley","otc alterations permit","to bring #413 & 419 haight st into compliance, re: dei notice of violation#200669969 dated: 21 jul,06 to convert illegal residentail space back to it's original commerical space","apartments","apartments",2007-01-02,"37.77209707469256","-122.42916749824555"
"958 Geary St 94109","Tenderloin","additions alterations or repairs","legalize the change in use to mcd-medical cannibus dispensary on ground floor area.","apartments","apartments",2007-06-25,"37.78624085928603","-122.41905503308013"
"419 Haight St 94117","Hayes Valley","otc alterations permit","to bring #413 & 419 haight st into compliance, re: dei notice of violation#200669969 dated: 21 jul,06 to convert illegal residentail space back to it's original commerical space","apartments","apartments",2007-01-02,"37.77209707469256","-122.42916749824555"
"1200 Taylor St 94108","Nob Hill","otc alterations permit","unit #24-kitchen to legalize work done without permit to comply with complaint# 200706762-no changes to partitions or windows. 50% of kitchen light watts must be flourscent","apartments","apartments",2007-07-02,"37.79362295339819","-122.41257665970357"
"856 Presidio Av 94115","Presidio Heights","additions alterations or repairs","to legalize from 4 units to 5 units","apartments","apartments",2007-07-05,"37.78377311531476","-122.44577539171574"
"858 Presidio Av 94115","Presidio Heights","additions alterations or repairs","to legalize from 4 units to 5 units","apartments","apartments",2007-07-05,"37.78377311531476","-122.44577539171574"
"424 Taraval St 94116","West of Twin Peaks","additions alterations or repairs","legalize use as cafe","apartments","food/beverage hndlng",1986-02-06,"37.74351483161844","-122.4707339523816"
"1412 Mcallister St 94115","Western Addition","otc alterations permit","unit b: to comply with 3r-4779 unit 1412b item #7. legalize shower,  remove ladder & plywood platform.","apartments","apartments",2007-07-10,"37.77841085938378","-122.43544861483268"
"1355 Mason St 94133","Nob Hill","additions alterations or repairs","remove illegal kitchen sink unit/cooking range at comm'l","apartments","apartments",1992-09-11,"37.79594166456219","-122.4120038840944"
"16 Hill St 94110","Mission","additions alterations or repairs","legalize g/f space per plans","apartments","apartments",1992-09-16,"37.756300046255994","-122.42182006998927"
"364 06th Av 94118","Inner Richmond","otc alterations permit","per n.o.v.# 200451276  remove (2) illegal units at the first floor. convert building to original (6) units.","apartments","apartments",2007-07-18,"37.781740425905284","-122.4640068826729"
"370 06th Av 94118","Inner Richmond","otc alterations permit","per n.o.v.# 200451276  remove (2) illegal units at the first floor. convert building to original (6) units.","apartments","apartments",2007-07-18,"37.781740425905284","-122.4640068826729"
"2580 Geary Bl 94115","Presidio Heights","additions alterations or repairs","legalize units not approved by city planning","apartments","apartments",1992-09-21,"37.78291723240619","-122.44567070155759"
"2590 Geary Bl 94115","Presidio Heights","additions alterations or repairs","legalize units not approved by city planning","apartments","apartments",1992-09-21,"37.78291723240619","-122.44567070155759"
"2560 Geary Bl 94115","Presidio Heights","additions alterations or repairs","legalize units not approved by city planning","apartments","apartments",1992-09-21,"37.782946656016385","-122.44544006612455"
"2550 Geary Bl 94115","Presidio Heights","additions alterations or repairs","legalize units not approved by city planning","apartments","apartments",1992-09-21,"37.78290248497261","-122.44513323257466"
"18 Varennes St 94133","North Beach","additions alterations or repairs","remove illegal unit and convaert to original use","apartments","apartments",1992-09-25,"37.800100138897406","-122.40653619190664"
"1990 Green St 94123","Marina","otc alterations permit","legalize existing damaged roof deck. deck repair, replace fire escape ladder with fire escape stair at east wall.","apartments","apartments",2007-07-25,"37.796847739921425","-122.43182320701725"
"1990 Green St 94123","Marina","otc alterations permit","legalize existing damaged roof deck. deck repair, replace fire escape ladder with fire escape stair at east wall.","apartments","apartments",2007-07-25,"37.796847739921425","-122.43182320701725"
"168 Langton St 94103","South of Market","additions alterations or repairs","legalize 3rd unit on ground floor in reponse to nov 201058746. work includes (n) shower in (e) bathroom,new kitchen hood & stove outlet under separate permit. fire protection under separate permit.","2 family dwelling","apartments",2010-09-27,"37.775388185175565","-122.40748257788772"
"27 Monroe St 94108","Nob Hill","additions alterations or repairs","legalize existing bedroom","apartments","apartments",1992-10-13,"37.790649634566456","-122.40814743161178"
"140 Cole St 94117","Lone Mountain/USF","additions alterations or repairs","to legalize existing room in basement area","apartments","apartments",1983-03-31,"37.77374673937386","-122.45076610030875"
"691 10th Av 94118","Inner Richmond","additions alterations or repairs","legalize use exist.comm.sp./no arch/struc alt in interior sp","apartments","2 family dwelling",1993-02-18,"37.775390341529715","-122.46833867920138"
"1109 Oak St 94117","Haight Ashbury","additions alterations or repairs","legalize (e) bldg occupancy from r-1 to b2 w/sprkler","apartments","office",1993-02-22,"37.77279257870673","-122.43786850205899"
"3819 17th St 94114","Castro/Upper Market","additions alterations or repairs","legalize residential use in previous n/conform comm'l space","2 family dwelling","apartments",1993-02-23,"37.76247752375563","-122.4312351868138"
"935 Sutter St 94109","Nob Hill","additions alterations or repairs","legalize 1 add'l unit to bring bldg.into compliance w/hid cd","apartments","apartments",1993-02-25,"37.78802438445952","-122.41579137549027"
"2157 Lombard St 94123","Marina","otc alterations permit","to legalize existing platform 13-1/2"" above floor (242 sq. ft)at the ground floor commercial use (massage school).  see pa 200612200252 for reference of existing use.","apartments","apartments",2007-08-10,"37.79947067484801","-122.43691104446572"
"619 Minna St 94103","South of Market","additions alterations or repairs","remove illegal unit ground fl to storage to comply w/hicode","apartments","apartments",1993-03-02,"37.77828130173883","-122.41076167922087"
"4645 Balboa St 94121","Outer Richmond","additions alterations or repairs","comply w/hid notice of 11/9/92 to legalize storag/laund area","apartments","apartments",1993-03-02,"37.77503707754802","-122.50880450077706"
"1769 Folsom St 94103","Mission","otc alterations permit","1769 folsom- repair leak. 1775 folsom-install new gas furnace.replace old furnace. to comply w/ complaint #200716630 & 200717010. to repair source of plumbing leak only. does not address alleged illegal unit. complaint #200716836.","apartments","apartments",2007-08-13,"37.768745198358594","-122.41537880390969"
"1775 Folsom St 94103","Mission","otc alterations permit","1769 folsom- repair leak. 1775 folsom-install new gas furnace.replace old furnace. to comply w/ complaint #200716630 & 200717010. to repair source of plumbing leak only. does not address alleged illegal unit. complaint #200716836.","apartments","apartments",2007-08-13,"37.768745198358594","-122.41537880390969"
"545 Burnett Av 94131","Twin Peaks","additions alterations or repairs","remove 5 illegal units on sub-bsmt level per dahi report","apartments","apartments",1993-03-04,"37.75246374013368","-122.44445222240691"
"1050 Baker St 94115","Lone Mountain/USF","otc alterations permit","correct nov#200712730,remove illegal kitchen and legalize bathroom @ 1 st floor.","apartments","apartments",2007-08-15,"37.781237315842155","-122.44170888828694"
"1176 Treat Av 94110","Mission","additions alterations or repairs","remove illegal basement unit","apartments","2 family dwelling",1993-03-12,"37.75134589654701","-122.41317350336232"
"544 Precita Av 94110","Bernal Heights","additions alterations or repairs","no work to be done/legalize store space as living space","2 family dwelling","apartments",1993-03-17,"37.74699988771925","-122.40968681879971"
"1580 Washington St 94109","Russian Hill","additions alterations or repairs","to eliminate illegal dwelling unit on ground floor per plans","apartments","apartments",1993-03-18,"37.79363933510874","-122.41923011058988"
"860 North Point St NA",NA,"additions alterations or repairs","legalize gate (iron security) @ front entry","apartments","apartments",1987-09-22,NA,NA
"1030 Larkin St 94109","Nob Hill","additions alterations or repairs","comply with nov 200877336 to legalize gr fl apt (1st fl units combined, total remains 16). upgrade ceilings to code requirements, insuate, heating, fire sprinklers, 1 hr & 2 hr fire separations,egress from bedroom.","apartments","apartments",2009-05-15,"37.78748336552647","-122.4181206390589"
"134 Presidio Av 94115","Presidio Heights","otc alterations permit","removal of illegal non conforming 1st level unit 136a presidio. convert space back to legal storage use, repair any damage to adjacent finishes.","apartments","apartments",2012-11-08,"37.79036708492459","-122.44712960875489"
"136 Presidio Av 94115","Presidio Heights","otc alterations permit","removal of illegal non conforming 1st level unit 136a presidio. convert space back to legal storage use, repair any damage to adjacent finishes.","apartments","apartments",2012-11-08,"37.79036708492459","-122.44712960875489"
"253 Sanchez St 94114","Castro/Upper Market","additions alterations or repairs","to legalize as 3 units","apartments","apartments",1985-08-23,"37.765113004541924","-122.43059137382264"
"1001 Guerrero St 94110","Mission","additions alterations or repairs","demo exist illegal residential use of a commercial space","apartments","apartments",1987-08-14,"37.754941013604814","-122.4229300094842"
"1530 Mcallister St 94115","Western Addition","additions alterations or repairs","comply with his n.o.v. #200720170 dated 9/18/2007. to remove illegal unit on ground floor. (kitchen and bathroom).","apartments","apartments",2007-10-11,"37.77821604966142","-122.43730015736365"
"2701 Turk Bl 94118","Lone Mountain/USF","additions alterations or repairs","legalize fam rm/bath garage level(at grade)built by prev own","apartments","apartments",1993-04-23,"37.77790808451126","-122.45075122515448"
"400 Grafton Av 94112","Oceanview/Merced/Ingleside","additions alterations or repairs","removal of illegal residential units per complaint 9100303","apartments","1 family dwelling",1993-04-23,"37.72024945540134","-122.45732299760425"
"2452 Hyde St 94109","Russian Hill","additions alterations or repairs","revise appl #9307096/comply w/3r 1922/legalize exercise room","apartments","apartments",1993-05-06,"37.80350503689605","-122.41955016423204"
"2448 Hyde St 94109","Russian Hill","additions alterations or repairs","revise appl #9307096/comply w/3r 1922/legalize exercise room","apartments","apartments",1993-05-06,"37.80350503689605","-122.41955016423204"
"2452 Hyde St NA",NA,"additions alterations or repairs","revise appl #9307096/comply w/3r 1922/legalize exercise room","apartments","apartments",1993-05-06,NA,NA
"2452 Hyde St 94109","Russian Hill","additions alterations or repairs","revise appl #9307096/comply w/3r 1922/legalize exercise room","apartments","apartments",1993-05-06,"37.80350503689605","-122.41955016423204"
"455 Bartlett St 94110","Mission","additions alterations or repairs","remove illegal ground fl apartment/convert to original use","apartments","2 family dwelling",1993-05-06,"37.74971675860204","-122.41900885354232"
"1077 Treat Av 94110","Mission","otc alterations permit","comply w/nov #200721491: remove illegal in-law unit & remove kitchen. cap utilities at source.","apartments","apartments",2007-10-29,"37.753027872224074","-122.41271563632993"
"1125 Leavenworth St 94109","Nob Hill","otc alterations permit","legalize 1 kichen. remodel per 3r report #3r -4787 dated 2-14-07, (e) light fixtures to remain. 3r done under app #200706073353","apartments","apartments",2007-10-31,"37.79161198609034","-122.41619336392793"
"1265 Masonic Av 94117","Haight Ashbury","additions alterations or repairs","legalize units as is ref application 8819084","apartments","apartments",1993-05-19,"37.76936932094368","-122.44553595053871"
